OUT_EX_X,OUT_EX_Y
0,1.199991197901033
1.783353291646386e-14,1.200065633221786
3.113044754556046e-14,1.200121224687708
5.772427680375366e-14,1.200232332290342
1.109119353201401e-13,1.200454188142072
2.172872523529128e-13,1.200896437610113
4.300378864184584e-13,1.201775236513048
8.555391545495494e-13,1.203511356786996
1.706541690811732e-12,1.206898772800986
3.408546763336096e-12,1.212071962820609
5.050635522258642e-12,1.210725145080334
6.33774432476686e-12,1.203009557183751
7.744893789404227e-12,1.185845702141936
8.872446894702113e-12,1.165120149968888
9.999999999999999e-12,1.138585093291279
1.011715852136992e-11,1.135168961799621
1.024150164069603e-11,1.131545107029591
1.042390793673871e-11,1.126233670442173
1.078872052882405e-11,1.115628652612478
1.151834571299473e-11,1.094491958613415
1.297759608133609e-11,1.052519466012745
1.589609681801881e-11,0.9698288947557183
2.173309829138427e-11,0.8098527087462591
3.028452756015274e-11,0.5902221162456078
3.803984899966196e-11,0.4102025474787674
4.359720650510148e-11,0.2981317102053649
4.775662722251326e-11,0.2269557772457284
5.194223368619863e-11,0.1680089519853748
5.687796584584447e-11,0.1144181882891333
6.23428017540572e-11,0.07228724541349864
6.68738025849324e-11,0.04839326940677759
7.125578081634547e-11,0.03242307627682124
7.57794256527516e-11,0.02122009868822073
8.058345323952513e-11,0.01338016970808078
8.584648865823256e-11,0.007957892661323396
9.176932233126105e-11,0.004331814628034532
9.858718282887263e-11,0.002052911866439523
1.066247657891626e-10,0.0007546020390868666
1.163678756474319e-10,0.0001251243199611657
1.285987093961019e-10,-9.009014417644609e-05
1.447698556866106e-10,-9.779854134766934e-05
1.675675540344057e-10,-4.153560510294099e-05
2.038167247182477e-10,7.917582862759873e-07
2.763150660859317e-10,1.092646449893348e-05
4.213117488212996e-10,7.868635198549805e-06
5.713117488212996e-10,6.464209432051021e-06
7.213117488212996e-10,6.390718347000861e-06
8.713117488212996e-10,6.427109710472937e-06
1.0213117488213e-09,6.434288497544e-06
1.1713117488213e-09,6.434036937307073e-06
1.3213117488213e-09,6.43376870256948e-06
1.4713117488213e-09,6.433741784847649e-06
1.6213117488213e-09,6.433747046747818e-06
1.7713117488213e-09,6.433748618639864e-06
1.9213117488213e-09,6.43374865225039e-06
2.0713117488213e-09,6.433748605144119e-06
2.221311748821301e-09,6.433748597868092e-06
2.371311748821301e-09,6.433748598458443e-06
2.5e-09,6.433748598768293e-06
2.50125e-09,-0.004405659801056735
2.502276241143102e-09,-0.0077973057267955
2.504328723429305e-09,-0.01146783038559503
2.505998464255465e-09,-0.008708351801858296
2.507551935810457e-09,0.0007287933797535972
2.508775967905229e-09,0.01370648741190052
2.51e-09,0.03148950963429484
2.510122960751613e-09,0.03389085212172455
2.510252758456415e-09,0.03642436706075827
2.510444650919579e-09,0.04016641275463849
2.510828435845908e-09,0.04763703577957797
2.511596005698566e-09,0.06252341415019907
2.513131145403882e-09,0.09207469176761625
2.516201424814514e-09,0.1502822316866874
2.522341983635778e-09,0.2630457100327088
2.534623101278305e-09,0.4731608656595205
2.546423374571447e-09,0.65372029419404
2.55570863538643e-09,0.778730196906621
2.563602456086371e-09,0.8709204233460653
2.571776723195472e-09,0.9510197080623352
2.581153274179245e-09,1.02346924691387
2.58962440387887e-09,1.072805811241415
2.596927490485923e-09,1.105023845915513
2.604253019906244e-09,1.129633518675769
2.611906007252604e-09,1.148888248800096
2.62017253943313e-09,1.164058029985777
2.629247286446211e-09,1.175775034207601
2.639116940917043e-09,1.18437658985728
2.650002445726657e-09,1.190489463555506
2.662205335403338e-09,1.194653722390647
2.676144516440896e-09,1.197328723683651
2.692434316849771e-09,1.198908289799326
2.706780365205855e-09,1.199538810546333
2.729932158983288e-09,1.19995185674265
2.756693997237075e-09,1.200065223039636
2.793818430049242e-09,1.200058182666295
2.853123225864762e-09,1.200016700094818
2.952876368865367e-09,1.199991867547795
3.102876368865367e-09,1.199989673357118
3.252876368865367e-09,1.199991951169296
3.402876368865367e-09,1.199992673814482
3.552876368865367e-09,1.199992712982729
3.702876368865367e-09,1.199992676805712
3.852876368865367e-09,1.199992665052313
4.002876368865367e-09,1.199992664359638
4.152876368865366e-09,1.199992664933813
4.302876368865366e-09,1.199992665124894
4.452876368865366e-09,1.199992665137048
4.602876368865365e-09,1.199992665127942
4.752876368865365e-09,1.199992665124837
4.876438184432683e-09,1.199992665124651
5e-09,1.199992665124769
5.00125e-09,1.204981381929035
5.002276241143101e-09,1.20891232279336
5.004328723429304e-09,1.211907614244132
5.005779374462405e-09,1.20667440740723
5.00710419834335e-09,1.194316178659411
5.008555687006913e-09,1.170927604898221
5.01e-09,1.137973252223121
5.010129824236257e-09,1.134188607668555
5.010269364567046e-09,1.130122945226543
