OUT_X,OUT_Y
0,1.199989340487325
1.783353291646386e-14,1.200040971651497
3.113044754556046e-14,1.200079593970039
5.772427680375366e-14,1.200156778703368
1.109119353201401e-13,1.200310862288996
2.172872523529128e-13,1.20061786384217
4.300378864184584e-13,1.201227298065038
8.555391545495494e-13,1.202428600609277
1.706541690811732e-12,1.204751542668256
3.408546763336096e-12,1.207451329225391
5.050635522258642e-12,1.20316606150098
6.33774432476686e-12,1.192851161379514
7.744893789404227e-12,1.17229174420981
8.872446894702113e-12,1.148676646098127
9.999999999999999e-12,1.119133203328877
1.011715852136992e-11,1.115555409060788
1.024150164069603e-11,1.111760174370123
1.042390793673871e-11,1.10619783078712
1.078872052882405e-11,1.095092922644514
1.151834571299473e-11,1.072964351572459
1.297759608133609e-11,1.029040761266057
1.589609681801881e-11,0.942587053594653
2.173309829138427e-11,0.775718331021639
3.028452756015274e-11,0.5480540295080936
3.803984899966196e-11,0.3653373197826283
4.359720650510148e-11,0.25613770229595
4.775662722251326e-11,0.1894910502283176
5.194223368619863e-11,0.1362241646763631
5.687796584584447e-11,0.0895415371452301
6.23428017540572e-11,0.0543080106952835
6.68738025849324e-11,0.03516349703176559
7.125578081634547e-11,0.02284011924205413
7.57794256527516e-11,0.01449130344440845
8.058345323952513e-11,0.008842852066902654
8.584648865823256e-11,0.005067967699378086
9.176932233126105e-11,0.00263508358376079
9.858718282887263e-11,0.001170118683373899
1.066247657891626e-10,0.0003779561706482341
1.163678756474319e-10,2.716543677552265e-05
1.285987093961019e-10,-7.101085365434441e-05
1.447698556866106e-10,-5.54760749908242e-05
1.675675540344057e-10,-1.497916047277811e-05
2.038167247182477e-10,9.086404957182141e-06
2.763150660859317e-10,1.269333077589674e-05
4.213117488212996e-10,9.61101476849643e-06
5.713117488212996e-10,8.851077900425464e-06
7.213117488212996e-10,8.857146155167059e-06
8.713117488212996e-10,8.882176442654411e-06
1.0213117488213e-09,8.88517840812905e-06
1.1713117488213e-09,8.884762760402396e-06
1.3213117488213e-09,8.884613877827845e-06
1.4713117488213e-09,8.884608136364795e-06
1.6213117488213e-09,8.88461215535359e-06
1.7713117488213e-09,8.884612851719036e-06
1.9213117488213e-09,8.884612812347738e-06
2.0713117488213e-09,8.884612785094186e-06
2.221311748821301e-09,8.884612782871439e-06
2.371311748821301e-09,8.884612783457115e-06
2.5e-09,8.884612783600109e-06
2.50125e-09,-0.002905799389040024
2.502276241143102e-09,-0.005046775916443351
2.504328723429305e-09,-0.005375655713600659
2.505998464255465e-09,0.001194169982953822
2.507551935810457e-09,0.01515772309560246
2.508775967905229e-09,0.03231093912256558
2.51e-09,0.05457937295162685
2.510122960751613e-09,0.0572840940010752
2.510252758456415e-09,0.06013751528545093
2.510444650919579e-09,0.0643516602624938
2.510828435845908e-09,0.07276324457256733
2.511596005698566e-09,0.08951843482079165
2.513131145403882e-09,0.1227543207308346
2.516201424814514e-09,0.1881127830766625
2.522341983635778e-09,0.3142385594595876
2.534623101278305e-09,0.5464779210124485
2.546423374571447e-09,0.7400977296495537
2.55570863538643e-09,0.8672233755058428
2.563602456086371e-09,0.9550637680420764
2.571776723195472e-09,1.02601198529445
2.581153274179245e-09,1.085394070152314
2.58962440387887e-09,1.122832929151971
2.596927490485923e-09,1.145608682075367
2.604253019906244e-09,1.161926270383003
2.611906007252604e-09,1.173919536728953
2.62017253943313e-09,1.182788171848477
2.629247286446211e-09,1.189196424485576
2.639116940917043e-09,1.193573323081327
2.650002445726657e-09,1.196445720650283
2.662205335403338e-09,1.198231797398686
2.676144516440896e-09,1.199259553700412
2.692434316849771e-09,1.199784491435862
2.706780365205855e-09,1.199950570882729
2.729932158983288e-09,1.200027488487756
2.756693997237075e-09,1.200027557325885
2.793818430049242e-09,1.200007924710775
2.853123225864762e-09,1.19999243991612
2.952876368865367e-09,1.199988385458786
3.102876368865367e-09,1.19998963607279
3.252876368865367e-09,1.199990360594617
3.402876368865367e-09,1.199990455497582
3.552876368865367e-09,1.199990435628988
3.702876368865367e-09,1.199990425583953
3.852876368865367e-09,1.199990424413903
4.002876368865367e-09,1.199990424722945
4.152876368865366e-09,1.199990424861556
4.302876368865366e-09,1.199990424875692
4.452876368865366e-09,1.199990424870965
4.602876368865365e-09,1.199990424869061
4.752876368865365e-09,1.199990424868895
4.876438184432683e-09,1.199990424868965
5e-09,1.199990424868992
5.00125e-09,1.203424968493072
5.002276241143101e-09,1.206046414953147
5.004328723429304e-09,1.205764007481175
5.005779374462405e-09,1.197736185828079
5.00710419834335e-09,1.182426207021646
5.008555687006913e-09,1.155375345239028
5.01e-09,1.11859673022768
5.010129824236257e-09,1.114632938944229
5.010269364567046e-09,1.110374973107692
5.010482384253208e-09,1.103881738322372
5.010908423625533e-09,1.090922331514716
5.011760502370183e-09,1.065114827590375
5.013464659859483e-09,1.013958316651222
5.016872974838082e-09,0.9135726663635921
5.02368960479528e-09,0.7212662893280773
5.032183525293869e-09,0.5003095509428919
5.037247505072587e-09,0.3813937790886198
5.042529918736932e-09,0.2736505660939867
5.046689715570395e-09,0.2035469868026194
5.050721513221702e-09,0.1489062607386819
5.05543199924914e-09,0.1004755297515221
5.061300971827101e-09,0.05908573145517122
5.065914780370486e-09,0.03802651791450137
5.070263776156667e-09,0.02481710641134353
5.074741280254926e-09,0.01584570750387217
5.079466920679085e-09,0.009769675641774743
5.084616262966273e-09,0.005687514018702889
5.09038827060326e-09,0.003027321477854721
5.097003286451952e-09,0.001398353998308008
5.10476269721454e-09,0.000495784929408207
5.11411038466502e-09,7.314145166270971e-05
5.125748304734831e-09,-6.489672676356236e-05
5.140967989714185e-09,-6.245354808560296e-05
5.162055134810876e-09,-2.17620461327055e-05
5.194627288302908e-09,7.166188941553069e-06
5.256077128308871e-09,1.405197849670561e-05
5.378976808320796e-09,1.108781100713142e-05
5.528976808320795e-09,9.865864336325516e-06
5.678976808320795e-09,9.832958698221233e-06
5.828976808320795e-09,9.867721381535406e-06
5.978976808320794e-09,9.873203847511606e-06
6.128976808320794e-09,9.872794700149306e-06
6.278976808320794e-09,9.872567724093563e-06
6.428976808320793e-09,9.872551822282365e-06
6.578976808320793e-09,9.872557030952852e-06
6.728976808320793e-09,9.872558202217323e-06
6.878976808320793e-09,9.872558185522909e-06
7.028976808320792e-09,9.872558146050321e-06
7.178976808320792e-09,9.872558141548742e-06
7.328976808320792e-09,9.872558142232713e-06
7.414488404160395e-09,9.872558142445867e-06
7.499999999999999e-09,9.87255814247511e-06
7.501249999999999e-09,-0.002904909214626308
7.5022762411431e-09,-0.005045950667551338
7.504328723429303e-09,-0.005374927695986239
7.50599846576732e-09,0.001194863269747183
7.507551937120709e-09,0.01515842045082387
7.508775968560353e-09,0.032311627414632
7.509999999999999e-09,0.05458004441177879
7.510122960718707e-09,0.05728476416371486
7.510252758389326e-09,0.06013818409084185
7.510444650788673e-09,0.06435232677081476
7.510828435587366e-09,0.07276390649360895
7.511596005184753e-09,0.08951908759729411
7.513131144379527e-09,0.1227549553458624
7.516201422769073e-09,0.1881133818894109
7.522341979548167e-09,0.3142390886940683
7.534623093106354e-09,0.5464783183166282
7.54642336037674e-09,0.740097976309805
7.555708616833487e-09,0.8672235255597973
7.563602436159184e-09,0.9550638750718634
7.571776705421075e-09,1.026012082694935
7.581153238791749e-09,1.085394043960721
7.589624364421142e-09,1.122832894092929
7.596927451385562e-09,1.145608657034927
7.60425298065846e-09,1.161926252003476
7.611905968303602e-09,1.173919524262243
7.620172500382227e-09,1.182788163403423
7.629247240258096e-09,1.189196414848099
7.639116884299681e-09,1.193573313187356
7.650002375308003e-09,1.196445711738942
7.662205247078328e-09,1.198231790315673
7.676144404939221e-09,1.199259548786494
7.692434174291375e-09,1.199784488546451
7.706780179528228e-09,1.1999505691163
7.729931910651375e-09,1.200027487915369
7.756693627703254e-09,1.20002755730935
7.793817818393699e-09,1.200007924895731
7.853122256380651e-09,1.199992440034998
7.952874541892532e-09,1.199988385476125
8.102874541892532e-09,1.199989636062931
8.252874541892532e-09,1.199990360594113
8.402874541892531e-09,1.199990455500802
8.552874541892531e-09,1.199990435632526
8.702874541892531e-09,1.19999042558735
8.85287454189253e-09,1.199990424417249
9.00287454189253e-09,1.199990424726288
9.15287454189253e-09,1.199990424864901
9.302874541892529e-09,1.199990424879038
9.452874541892529e-09,1.199990424874311
9.602874541892529e-09,1.199990424872407
9.752874541892528e-09,1.19999042487224
9.876437270946264e-09,1.199990424872311
1e-08,1.199990424872337
1.000125e-08,1.203424968496166
1.00022762411431e-08,1.206046414956123
1.00043287234293e-08,1.205764007483972
1.000577937446239e-08,1.197736185830939
1.000710419834334e-08,1.182426207024534
1.000855568700692e-08,1.15537534524152
1.001e-08,1.118596730230403
1.001012982423626e-08,1.114632938946975
1.001026936456704e-08,1.110374973110435
1.001048238425321e-08,1.103881738325112
1.001090842362553e-08,1.090922331517448
1.001176050237018e-08,1.065114827593091
1.001346465985948e-08,1.013958316653905
1.001687297483808e-08,0.9135726663662067
1.002368960479528e-08,0.721266289330538
1.003218352529387e-08,0.5003095509451458
1.003724750507261e-08,0.3813937790900295
1.004252991873698e-08,0.2736505660946861
1.004668971557046e-08,0.2035469868030841
1.005072151322174e-08,0.1489062607393463
1.0055431999249e-08,0.1004755297535301
1.006130097182702e-08,0.05908573145611835
1.006591478037043e-08,0.0380265179150445
1.007026377615661e-08,0.02481710641171691
1.007474128025487e-08,0.01584570750411793
1.007946692067898e-08,0.009769675641972148
1.00846162629661e-08,0.005687514018868054
1.009038827060299e-08,0.003027321477987498
1.009700328645154e-08,0.001398353998405678
