VEX_PLUS_X,VEX_PLUS_Y
1.011411038466414e-08,-6.72374517874963e-09
1.012574830473354e-08,-2.565725705785508e-09
1.014096798971225e-08,-2.044760646060455e-09
1.016205513480779e-08,-2.789364515093609e-09
1.019462728829744e-08,-3.484364901862336e-09
1.025607712829615e-08,-3.713196863845976e-09
1.037897680829356e-08,-3.662098017283547e-09
1.052897680829356e-08,-3.628256789496354e-09
1.067897680829356e-08,-3.625923970794644e-09
1.082897680829356e-08,-3.62673886041599e-09
1.097897680829356e-08,-3.626924791826042e-09
1.112897680829356e-08,-3.626922425817127e-09
1.127897680829356e-08,-3.626915929446704e-09
1.142897680829356e-08,-3.626915144161929e-09
1.157897680829356e-08,-3.626915255715411e-09
1.172897680829356e-08,-3.626915296658631e-09
1.187897680829356e-08,-3.626915298395144e-09
1.202897680829355e-08,-3.626915297264635e-09
1.217897680829355e-08,-3.626915297056842e-09
1.232897680829355e-08,-3.626915297066273e-09
1.241448840414678e-08,-3.626915297073632e-09
1.25e-08,-3.62691529707525e-09
1.250125e-08,-2.281021117357105e-05
1.25022762411431e-08,-3.076152176767598e-05
1.25043287234293e-08,-6.877247251385206e-05
1.250599846576732e-08,-0.0001146740406345527
1.250755193712071e-08,-0.0001635831000852559
1.250877596856035e-08,-0.000204438058381959
1.251e-08,-0.0002457479761376345
1.251012296071871e-08,-0.0002054340083635856
1.251025275838933e-08,-0.0002052579797566528
1.251044465078867e-08,-0.0002049986775384013
1.251082843558737e-08,-0.0002044797570274673
1.251159600518475e-08,-0.0002034404563540444
1.251313114437953e-08,-0.0002013555749882965
1.251620142276907e-08,-0.0001971567876974389
1.252234197954817e-08,-0.0001886088358336967
1.253462309310635e-08,-0.0001705512591423374
1.254642336037674e-08,-0.0001509412812751155
1.255570861683349e-08,-0.0001324323739572609
1.256360243615918e-08,-0.000113632361091365
1.257177670542107e-08,-9.259235710844213e-05
1.258115323879175e-08,-6.948034935291448e-05
1.258962436442114e-08,-5.178504061787405e-05
1.259692745138556e-08,-3.95826912743585e-05
1.260425298065846e-08,-2.98563180596015e-05
1.26119059683036e-08,-2.198717576878754e-05
1.262017250038222e-08,-1.562913077873139e-05
