VSCHEM_PLUS_X,VSCHEM_PLUS_Y
1.9213117488213e-09,-7.691196598148408e-09
2.0713117488213e-09,-7.691196597819524e-09
2.221311748821301e-09,-7.691196597792312e-09
2.371311748821301e-09,-7.691196597799247e-09
2.5e-09,-7.691196597801631e-09
2.50125e-09,-1.808689006141582e-05
2.502276241143102e-09,-2.813020513647894e-05
2.504328723429305e-09,-7.237267282270959e-05
2.505998464255465e-09,-0.0001228716764574539
2.507551935810457e-09,-0.00017564376319185
2.508775967905229e-09,-0.0002189434653292551
2.51e-09,-0.0002623093744853004
2.510122960751613e-09,-0.0002273711721245254
2.510252758456415e-09,-0.000227157378402635
2.510444650919579e-09,-0.0002268431346377111
2.510828435845908e-09,-0.0002262137591645273
2.511596005698566e-09,-0.0002249518653733671
2.513131145403882e-09,-0.0002224147364130355
2.516201424814514e-09,-0.0002172799623630976
2.522341983635778e-09,-0.0002067011002956927
2.534623101278305e-09,-0.0001835304322045662
2.546423374571447e-09,-0.0001561714430950016
2.55570863538643e-09,-0.0001285013524958479
2.563602456086371e-09,-0.0001024249506407725
2.571776723195472e-09,-7.673820275689616e-05
2.581153274179245e-09,-5.2599184102636e-05
2.58962440387887e-09,-3.639740278191196e-05
2.596927490485923e-09,-2.608856567100914e-05
2.604253019906244e-09,-1.847275795683058e-05
2.611906007252604e-09,-1.275759344009297e-05
2.62017253943313e-09,-8.47044717161958e-06
2.629247286446211e-09,-5.340433037060804e-06
2.639116940917043e-09,-3.186883333108212e-06
2.650002445726657e-09,-1.766749169979558e-06
2.662205335403338e-09,-8.808073683373167e-07
2.676144516440896e-09,-3.699243423730293e-07
2.692434316849771e-09,-1.09104883128099e-07
2.706780365205855e-09,-2.664780004536997e-08
2.729932158983288e-09,1.153706196928901e-08
2.756693997237075e-09,1.157123624780824e-08
2.793818430049242e-09,1.82474160578206e-09
2.853123225864762e-09,-5.862592317372518e-09
2.952876368865367e-09,-7.875403472137522e-09
3.102876368865367e-09,-7.254543610709562e-09
3.252876368865367e-09,-6.894859072678475e-09
3.402876368865367e-09,-6.847745061646356e-09
3.552876368865367e-09,-6.857608706660146e-09
3.702876368865367e-09,-6.862595504321036e-09
3.852876368865367e-09,-6.863176368653278e-09
4.002876368865367e-09,-6.863022946491345e-09
4.152876368865366e-09,-6.862954134101773e-09
4.302876368865366e-09,-6.862947116177322e-09
4.452876368865366e-09,-6.862949463074265e-09
4.602876368865365e-09,-6.862950408092014e-09
4.752876368865365e-09,-6.862950490671562e-09
4.876438184432683e-09,-6.862950455834899e-09
5e-09,-6.862950442493146e-09
5.00125e-09,2.674911562007452e-05
5.002276241143101e-09,2.732454156758578e-05
5.004328723429304e-09,2.412113567341578e-05
5.005779374462405e-09,1.894889604249074e-05
5.00710419834335e-09,1.433853868306118e-05
5.008555687006913e-09,1.234026464907742e-05
5.01e-09,8.589424442250949e-06
5.010129824236257e-09,-6.359006002244505e-06
5.010269364567046e-09,-6.314310418495146e-06
5.010482384253208e-09,-6.265133300139639e-06
5.010908423625533e-09,-6.170211187732566e-06
5.011760502370183e-09,-5.990688182819752e-06
5.013464659859483e-09,-5.666617939416366e-06
5.016872974838082e-09,-5.123575330864526e-06
5.02368960479528e-09,-4.299533880189103e-06
5.032183525293869e-09,-3.552612988659951e-06
5.037247505072587e-09,-3.153173496015485e-06
5.042529918736932e-09,-2.559640851467595e-06
5.046689715570395e-09,-2.047469048153047e-06
5.050721513221702e-09,-1.579357543178537e-06
5.05543199924914e-09,-1.11690473527861e-06
5.061300971827101e-09,-6.85307867638623e-07
5.065914780370486e-09,-4.537627554320793e-07
5.070263776156667e-09,-3.02630918495261e-07
5.074741280254926e-09,-1.974476299149423e-07
5.079466920679085e-09,-1.252286791098447e-07
5.084616262966273e-09,-7.630047735610382e-08
5.09038827060326e-09,-4.424162703990268e-08
5.097003286451952e-09,-2.454177810374445e-08
5.10476269721454e-09,-1.360253822771202e-08
5.11411038466502e-09,-8.505738219518061e-09
5.125748304734831e-09,-6.846164452988242e-09
5.140967989714185e-09,-6.798723247895573e-09
5.162055134810876e-09,-7.312441531107207e-09
5.194627288302908e-09,-7.658423430613207e-09
5.256077128308871e-09,-7.741783041133522e-09
5.378976808320796e-09,-7.70589872525823e-09
5.528976808320795e-09,-7.691105795888401e-09
5.678976808320795e-09,-7.690707439076684e-09
5.828976808320795e-09,-7.691128277342774e-09
5.978976808320794e-09,-7.691194648269054e-09
6.128976808320794e-09,-7.691189695116116e-09
6.278976808320794e-09,-7.69118694733629e-09
6.428976808320793e-09,-7.691186754828261e-09
6.578976808320793e-09,-7.691186817884951e-09
6.728976808320793e-09,-7.691186832064316e-09
6.878976808320793e-09,-7.691186831862369e-09
7.028976808320792e-09,-7.691186831383766e-09
7.178976808320792e-09,-7.691186831329814e-09
7.328976808320792e-09,-7.691186831337874e-09
7.414488404160395e-09,-7.691186831339929e-09
7.499999999999999e-09,-7.691186831340031e-09
7.501249999999999e-09,-1.808690219921858e-05
7.5022762411431e-09,-2.813020084355598e-05
7.504328723429303e-09,-7.237265689693713e-05
7.50599846576732e-09,-0.0001228717016295424
7.507551937120709e-09,-0.0001756437703289469
7.508775968560353e-09,-0.000218943445306042
7.509999999999999e-09,-0.0002623093247001647
7.510122960718707e-09,-0.0002273711222680724
7.510252758389326e-09,-0.0002271573285742054
7.510444650788673e-09,-0.0002268430848748401
7.510828435587366e-09,-0.0002262137095307314
7.511596005184753e-09,-0.0002249518159925786
7.513131144379527e-09,-0.0002224146875180261
7.516201422769073e-09,-0.0002172799143558502
7.522341979548167e-09,-0.0002067010536864392
7.534623093106354e-09,-0.0001835303863132163
7.54642336037674e-09,-0.0001561713992618091
7.555708616833487e-09,-0.0001285013132263431
7.563602436159184e-09,-0.0001024249150074049
7.571776705421075e-09,-7.673816488950989e-05
7.581153238791749e-09,-5.259919560272867e-05
7.589624364421142e-09,-3.639741854770166e-05
7.596927451385562e-09,-2.608857720225602e-05
7.60425298065846e-09,-1.847276662587752e-05
7.611905968303602e-09,-1.275759942791924e-05
7.620172500382227e-09,-8.470451278671733e-06
