IN_X,IN_Y
7.729931910651375e-09,0
7.756693627703254e-09,0
7.793817818393699e-09,0
7.853122256380651e-09,0
7.952874541892532e-09,0
8.102874541892532e-09,0
8.252874541892532e-09,0
8.402874541892531e-09,0
8.552874541892531e-09,0
8.702874541892531e-09,0
8.85287454189253e-09,0
9.00287454189253e-09,0
9.15287454189253e-09,0
9.302874541892529e-09,0
9.452874541892529e-09,0
9.602874541892529e-09,0
9.752874541892528e-09,0
9.876437270946264e-09,0
1e-08,0
1.000125e-08,0.1499999999999716
1.00022762411431e-08,0.2731489371721282
1.00043287234293e-08,0.5194468115164417
1.000577937446239e-08,0.6935249354865333
1.000710419834334e-08,0.8525038012008794
1.000855568700692e-08,1.026682440830897
1.001e-08,1.199999999999971
1.001012982423626e-08,1.2
1.001026936456704e-08,1.2
1.001048238425321e-08,1.2
1.001090842362553e-08,1.2
1.001176050237018e-08,1.2
1.001346465985948e-08,1.2
1.001687297483808e-08,1.2
1.002368960479528e-08,1.2
1.003218352529387e-08,1.2
1.003724750507261e-08,1.2
1.004252991873698e-08,1.2
1.004668971557046e-08,1.2
1.005072151322174e-08,1.2
1.0055431999249e-08,1.2
1.006130097182702e-08,1.2
1.006591478037043e-08,1.2
1.007026377615661e-08,1.2
1.007474128025487e-08,1.2
1.007946692067898e-08,1.2
1.00846162629661e-08,1.2
1.009038827060299e-08,1.2
1.009700328645154e-08,1.2
1.010476269721393e-08,1.2
1.011411038466414e-08,1.2
1.012574830473354e-08,1.2
1.014096798971225e-08,1.2
1.016205513480779e-08,1.2
1.019462728829744e-08,1.2
1.025607712829615e-08,1.2
1.037897680829356e-08,1.2
1.052897680829356e-08,1.2
1.067897680829356e-08,1.2
1.082897680829356e-08,1.2
1.097897680829356e-08,1.2
1.112897680829356e-08,1.2
1.127897680829356e-08,1.2
1.142897680829356e-08,1.2
1.157897680829356e-08,1.2
1.172897680829356e-08,1.2
1.187897680829356e-08,1.2
1.202897680829355e-08,1.2
1.217897680829355e-08,1.2
1.232897680829355e-08,1.2
1.241448840414678e-08,1.2
1.25e-08,1.2
1.250125e-08,1.050000000000128
1.25022762411431e-08,0.9268510628279709
1.25043287234293e-08,0.6805531884836575
1.250599846576732e-08,0.4801841079216621
1.250755193712071e-08,0.2937675455149468
1.250877596856035e-08,0.1468837727574384
1.251e-08,1.281197370417431e-13
1.251012296071871e-08,0
1.251025275838933e-08,0
1.251044465078867e-08,0
1.251082843558737e-08,0
1.251159600518475e-08,0
1.251313114437953e-08,0
1.251620142276907e-08,0
1.252234197954817e-08,0
1.253462309310635e-08,0
1.254642336037674e-08,0
1.255570861683349e-08,0
1.256360243615918e-08,0
1.257177670542107e-08,0
1.258115323879175e-08,0
1.258962436442114e-08,0
1.259692745138556e-08,0
1.260425298065846e-08,0
1.26119059683036e-08,0
1.262017250038222e-08,0
1.262924724025809e-08,0
1.263911688429968e-08,0
1.2650002375308e-08,0
1.266220524707832e-08,0
1.267614440493921e-08,0
1.269243417429137e-08,0
1.270678017952823e-08,0
1.272993191065138e-08,0
1.275669362770326e-08,0
1.279381781839368e-08,0
1.285312225638069e-08,0
1.29528745418925e-08,0
1.31028745418925e-08,0
1.32528745418925e-08,0
1.340287454189249e-08,0
1.355287454189249e-08,0
1.370287454189249e-08,0
1.385287454189249e-08,0
1.400287454189249e-08,0
1.415287454189249e-08,0
1.430287454189249e-08,0
1.445287454189249e-08,0
1.460287454189249e-08,0
1.475287454189249e-08,0
1.487643727094625e-08,0
1.5e-08,0
