/VOP X,/VOP YRe,/VOP YReImag
0.1,-0.0001441294982249003,1.267843269901618e-14
0.1584893192461114,-0.0001441294982249003,2.009395667892894e-14
0.2511886431509581,-0.0001441294982249003,3.184677015322483e-14
0.3981071705534974,-0.0001441294982249003,5.047372422090163e-14
0.6309573444801935,-0.0001441294982249003,7.999545691904844e-14
1,-0.0001441294982249003,1.267842501019981e-13
1.584893192461114,-0.0001441294982249003,2.009394899011256e-13
2.511886431509581,-0.0001441294982249003,3.184676246440847e-13
3.981071705534975,-0.0001441294982249003,5.047371653208527e-13
6.309573444801937,-0.0001441294982249003,7.99954492302321e-13
10.00000000000001,-0.0001441294982249003,1.267842424131817e-12
15.84893192461115,-0.0001441294982249003,2.009394822123093e-12
25.11886431509582,-0.0001441294982249002,3.184676169552682e-12
39.81071705534976,-0.0001441294982249001,5.047371576320359e-12
63.09573444801939,-0.0001441294982248999,7.999544846135025e-12
100.0000000000001,-0.0001441294982248992,1.267842416442991e-11
158.4893192461115,-0.0001441294982248975,2.00939481443424e-11
251.1886431509583,-0.0001441294982248934,3.184676161863718e-11
398.1071705534977,-0.000144129498224883,5.047371568630956e-11
630.957344480194,-0.0001441294982248568,7.999544838443867e-11
1000.000000000001,-0.000144129498224791,1.267842415673177e-10
1584.893192461116,-0.0001441294982246258,2.009394813661646e-10
2511.886431509584,-0.0001441294982242107,3.184676161080052e-10
3981.071705534979,-0.000144129498223168,5.047371567803215e-10
6309.573444801943,-0.0001441294982205491,7.999544837440671e-10
10000.00000000002,-0.0001441294982139704,1.267842415503006e-09
15848.93192461116,-0.0001441294981974457,2.00939481321339e-09
25118.86431509585,-0.0001441294981559375,3.184676159524717e-09
39810.7170553498,-0.0001441294980516736,5.047371561840517e-09
63095.73444801945,-0.0001441294977898388,7.999544813941449e-09
100000.0000000002,-0.0001441294971319781,1.267842406168437e-08
158489.3192461117,-0.000144129495479434,2.009394776069307e-08
251188.6431509586,-0.0001441294913282495,3.184676011658667e-08
398107.1705534981,-0.000144129480901176,5.047370973188849e-08
630957.3444801947,-0.0001441294547096821,7.999542470490381e-08
1000000.000000002,-0.0001441293889193689,1.267841473223293e-07
1584893.192461117,-0.0001441292236618589,2.009391061951778e-07
2511886.431509587,-0.0001441288085559509,3.184661225563529e-07
3981071.705534983,-0.0001441277658669423,5.047312109105523e-07
6309573.44480195,-0.0001441251468160836,7.99930813258604e-07
10000000.00000003,-0.0001441185684686745,1.26774818583616e-06
15848931.92461118,-0.0001441020470031186,2.009019720325546e-06
25118864.31509588,-0.0001440605633281069,3.18318330917015e-06
39810717.05534985,-0.0001439564642243621,5.041432626554181e-06
63095734.44801953,-0.000143695628298156,7.975943472281592e-06
100000000.0000003,-0.0001430445059356269,1.258488267732904e-05
158489319.2461119,-0.0001414341862340405,1.972566093839285e-05
251188643.1509589,-0.0001375417293981901,3.042011657493669e-05
398107170.5534986,-0.0001286314284003872,4.515440701587074e-05
630957344.4801955,-0.0001105504067783434,6.172931940954356e-05
1000000000,-8.142849998557449e-05,7.272722994476513e-05
