Loop Gain dB20 X,Loop Gain dB20 Y,Loop Gain Phase X,Loop Gain Phase Y
1,68.45918851046719,1,179.9963677349062
1.584893192461114,68.45918848409103,1.584893192461114,179.9942432477912
2.511886431509581,68.45918841782826,2.511886431509581,179.99087616266
3.981071705534974,68.45918825137765,3.981071705534974,179.9855396924954
6.309573444801934,68.45918783329147,6.309573444801934,179.9770819578104
10,68.45918678309846,10,179.9636773538765
15.84893192461114,68.45918414510608,15.84893192461114,179.9424324970807
25.11886431509581,68.45917751878952,25.11886431509581,179.9087617029114
39.81071705534975,68.45916087427767,39.81071705534975,179.855397228755
63.09573444801936,68.45911906545716,63.09573444801936,179.7708207875496
100.0000000000001,68.45901404821811,100.0000000000001,179.6367783535842
158.4893192461115,68.45875026802979,158.4893192461115,179.4243441382415
251.1886431509582,68.45808775281148,251.1886431509582,179.0876933289927
398.1071705534976,68.45642403547944,398.1071705534976,178.5542759723189
630.9573444801939,68.45224777546149,630.9573444801939,177.7094161618818
1000.000000000001,68.44177516385251,1000.000000000001,176.3725867829076
1584.893192461115,68.4155800038173,1584.893192461115,174.2624935995392
2511.886431509583,68.35046930532747,2511.886431509583,170.9520934237285
3981.071705534978,68.19109878396156,3981.071705534978,165.8353469681227
6309.573444801941,67.81481640226306,6309.573444801941,158.1983107119952
10000.00000000001,66.99244434270008,10000.00000000001,147.6256682080927
15848.93192461116,65.42899653934452,15848.93192461116,134.8597733596365
25118.86431509584,62.97535611594292,25118.86431509584,122.1173741056765
39810.71705534979,59.78598336782467,39810.71705534979,111.5946411198027
63095.73444801944,56.15611591388152,63095.73444801944,104.0015159166447
100000.0000000002,52.31271787129412,100000.0000000002,98.90672301546985
158489.3192461117,48.37666402821878,158489.3192461117,95.59162115761046
251188.6431509586,44.40237466548028,251188.6431509586,93.44635301761916
398107.1705534981,40.41262469524027,398107.1705534981,92.03552907697693
630957.3444801947,36.41664149399333,630957.3444801947,91.0616918786251
1000000.000000002,32.41806448495542,1000000.000000002,90.31643880583515
1584893.192461117,28.4181868551735,1584893.192461117,89.63941131956436
2511886.431509587,24.41712456935503,2511886.431509587,88.88479924574759
3981071.705534983,20.41394086550369,3981071.705534983,87.89055556140744
6309573.44480195,16.40590491803893,6309573.44480195,86.44493390400605
10000000.00000003,12.38648723663368,10000000.00000003,84.24464076133877
15848931.92461118,8.340726740031052,15848931.92461118,80.83631074575139
25118864.31509588,4.233036651968001,25118864.31509588,75.53358821096285
39810717.05534985,-0.0239699684007738,39810717.05534985,67.34683429682076
63095734.44801953,-4.631533298409876,63095734.44801953,55.09038743456591
100000000.0000003,-9.982361557928025,100000000.0000003,38.08376414376802
158489319.2461119,-16.60249371747049,158489319.2461119,17.86875574280671
251188643.1509589,-24.69922513666411,251188643.1509589,-0.8613670291585803
398107170.5534986,-33.75282770864653,398107170.5534986,-13.6598061345746
630957344.4801955,-42.89328688566475,630957344.4801955,-19.75844855852551
1000000000.000004,-51.29083698552942,1000000000.000004,-20.61170963192266
1584893192.461119,-58.12506669390253,1584893192.461119,-18.12406230066523
2511886431.50959,-62.83347578866848,2511886431.50959,-14.17931572933425
3981071705.534988,-65.52068737022678,3981071705.534988,-10.14495158672544
6309573444.801957,-66.8253326257735,6309573444.801957,-6.818847753547242
10000000000,-67.3960847532708,10000000000,-4.425755936001512
