iinteg(i("/R3/PLUS" ?result "tran")) X,iinteg(i("/R3/PLUS" ?result "tran")) Y
0,0
2e-05,-1.843774466436798e-17
6.000000000000001e-05,-5.528524305020711e-17
0.0001142363158538274,-1.052444076382595e-16
0.0001961023134856811,-1.80653675395985e-16
0.0003598343087493883,-3.314777006381724e-16
0.0006872982992768028,-6.331265145944777e-16
0.001087298299276803,-1.001593238393566e-15
0.001293649149638402,-1.191676174300545e-15
0.0015,-1.381759110207524e-15
0.00150000390625,-6.416545726550811e-15
0.00150001171875,-9.450232764891638e-14
0.001500015838479918,-2.027424886788197e-13
0.001500017197052069,-2.500474566775343e-13
0.001500019914196372,-3.62996430213907e-13
0.001500024378597184,-6.007083363974503e-13
0.001500029348877738,-9.357239634713076e-13
0.001500036042448313,-1.487891287215985e-12
0.001500041618095304,-2.023905835440331e-12
0.001500043127081509,-2.180354294045107e-12
0.001500045977403213,-2.488148943806411e-12
0.001500049229487197,-2.850090630380819e-12
0.001500051643945791,-3.12177443487117e-12
0.001500055226013328,-3.520643869506175e-12
0.001500059068081728,-3.914779793309526e-12
0.001500062011195496,-4.170391134318065e-12
0.001500064925221475,-4.381112605114158e-12
0.001500067143465654,-4.523333315893551e-12
0.001500070224598083,-4.708907955600953e-12
0.001500073095952421,-4.874154505729002e-12
0.001500078838661098,-5.1953266462512e-12
0.001500084693073257,-5.517113253118476e-12
0.001500095973185733,-6.132946957816032e-12
0.001500107136198994,-6.740183289226506e-12
0.001500125313011731,-7.727995240985751e-12
0.001500147572108197,-8.938514586790382e-12
0.001500176703175192,-1.052734606357157e-11
0.001500215832326435,-1.267133174799195e-11
0.001500267719391356,-1.553291451973485e-11
0.001500336751693338,-1.937109237851239e-11
0.0015004299189091,-2.460193327924853e-11
0.001500554212812647,-3.165830883920332e-11
0.001500721645789282,-4.128046112438857e-11
0.001500946814822054,-5.438903785154009e-11
0.001501250197911937,-7.228625211054184e-11
0.001501659301296724,-9.673877852801012e-11
0.001502210360617574,-1.300961620456179e-10
0.001502953409125765,-1.7562150351913e-10
0.001503476704562883,-2.079746508550633e-10
0.001504,-2.40519778430686e-10
0.001505046590874235,-3.061023612059047e-10
0.001506242135334358,-3.817074162069994e-10
0.00150813366194321,-5.030757232616417e-10
0.001509079425247636,-5.647536277366341e-10
0.001509552306899849,-5.959454543231471e-10
0.001510498070204276,-6.596685651934066e-10
0.001510970951856489,-6.925678732679586e-10
0.001511207392682595,-7.094726552841603e-10
0.001511680274334808,-7.45430896962238e-10
0.001512287045063921,-7.984269625335696e-10
0.001512486576632591,-8.177460860808952e-10
0.00151288563976993,-8.574601062429792e-10
0.001513012529925401,-8.701841825548851e-10
0.001513266310236342,-8.956068537444845e-10
0.001513728304905208,-9.418811709945698e-10
0.001514513491962544,-1.020479601182035e-09
0.001516083866077215,-1.177626414246573e-09
0.001518781315165885,-1.447599036736714e-09
0.001523106899344499,-1.880493471336401e-09
0.001531758067701725,-2.746303939185384e-09
0.001549060404416178,-4.477808794779822e-09
0.001583665077845083,-7.94049183165371e-09
0.001600263533836527,-9.601091800319888e-09
0.001605241430623953,-1.009898149792226e-08
0.001615197224198805,-1.109408609532868e-08
0.001616243282643221,-1.119856356641009e-08
0.001618335399532051,-1.140736778086253e-08
0.001620472264494284,-1.162031284207609e-08
0.001622699438129734,-1.184149843992654e-08
0.001625002158774784,-1.206886609048123e-08
0.001626697560748286,-1.223527013657175e-08
0.001628437839264662,-1.240518509984251e-08
0.001630156795710272,-1.257206402548426e-08
0.001633555609369164,-1.289882381100525e-08
0.001636983388742162,-1.322357775381192e-08
0.001643838947488157,-1.385630490025287e-08
0.001650680544581617,-1.446354651055823e-08
0.001664363738768535,-1.560208409908008e-08
0.001677931711065784,-1.66338819320719e-08
0.001704490997994191,-1.84032830540733e-08
0.001732499325611839,-1.995766306422881e-08
0.001743216206477346,-2.047802871094229e-08
0.001764649968208359,-2.140643988676767e-08
0.001767329188424736,-2.151197319168051e-08
