/V9/PLUS X,/V9/PLUS Y
0,-3.184150777438779e-10
1e-05,-8.744734232813412e-09
3e-05,-8.306488798209619e-09
7.000000000000002e-05,-7.502174182460313e-09
0.0001361356098601914,-6.416732292848547e-09
0.0002684068295805741,-4.692422416063997e-09
0.0004684068295805741,-2.871758070511911e-09
0.0006684068295805741,-1.89520587466183e-09
0.0008342034147902871,-1.292155948902356e-09
0.001,-1.011247038650026e-09
0.0010000625,4.700174072749336e-07
0.0010001875,1.396042697767045e-06
0.00100025,1.648668984387004e-06
0.001000275289815858,1.665073393824305e-06
0.001000325869447573,1.965907018546657e-06
0.001000403110039169,2.58665472653639e-06
0.001000472899431834,3.412906541389695e-06
0.001000575832948949,4.928082922817287e-06
0.001000781699983179,9.661990090787559e-06
0.001001032486203605,1.804829271201059e-05
0.001001389669732542,3.481564620797815e-05
0.001001456072344104,3.830523471371201e-05
0.001001588877567226,4.501604591614751e-05
0.001001651054641815,4.801596136323807e-05
0.001001775408790992,5.394746533960876e-05
0.001002024117089346,6.501659464590843e-05
0.001002318643322127,7.647316994561583e-05
0.001002741491396012,8.401327635052661e-05
0.001002834120034502,8.466734554933801e-05
0.001003019377311483,8.567353909584945e-05
0.001003070513307124,8.646213310437344e-05
0.001003084427361056,8.671872560843828e-05
0.00100311225546892,8.738873840771778e-05
0.001003159814703496,8.872580805126409e-05
0.001003188474113182,8.967418459604381e-05
0.001003197309246054,9.000677277754084e-05
0.001003214979511796,9.041783938911878e-05
0.001003236618490691,9.081208665948185e-05
0.001003268626418551,9.068097180661103e-05
0.001003302943581966,8.96844156451216e-05
0.001003334552348969,8.849318954405017e-05
0.001003374955233116,8.796621704889435e-05
0.001003414633214821,8.7827177592226e-05
0.001003452569351051,8.779759364587554e-05
0.001003508354416991,8.765493215495232e-05
0.001003608494422431,8.756333206273335e-05
0.001003729749614165,8.747310121283889e-05
0.001003864874807082,8.773344137624586e-05
0.001004,8.823659026251416e-05
0.001004077404457198,8.81658039293242e-05
0.001004173499551981,8.811836195644921e-05
0.001004265854897952,8.808997430756672e-05
