Loop Gain dB20 X,Loop Gain dB20 Y,Loop Gain Phase X,Loop Gain Phase Y
1,68.46675850264751,1,179.9928217935524
1.584893192461114,68.46675839961665,1.584893192461114,179.9886233095571
2.511886431509581,68.46675814078091,2.511886431509581,179.9819691611225
3.981071705534974,68.46675749061809,3.981071705534974,179.9714230476346
6.309573444801934,68.46675585749055,6.309573444801934,179.9547085884114
10,68.46675175526235,10,179.9282179726957
15.84893192461114,68.46674145094126,15.84893192461114,179.8862332435537
25.11886431509581,68.46671556777612,25.11886431509581,179.8196922003525
39.81071705534975,68.46665055287733,39.81071705534975,179.7142328216839
63.09573444801936,68.46648724712023,63.09573444801936,179.5470952208615
100.0000000000001,68.46607706871657,100.0000000000001,179.2822168950867
158.4893192461115,68.46504691794952,158.4893192461115,178.8624803832604
251.1886431509582,68.4624603735049,251.1886431509582,178.1975107814544
398.1071705534976,68.45597005412908,398.1071705534976,177.1446700615168
630.9573444801939,68.43970976271594,630.9573444801939,175.4802541147422
1000.000000000001,68.39913227922354,1000.000000000001,172.858991021337
1584.893192461115,68.29884774999803,1584.893192461115,168.7693483887444
2511.886431509583,68.05670798102268,2511.886431509583,162.531210369966
3981.071705534978,67.50209543591224,3981.071705534978,153.4912683863267
6309.573444801941,66.35885197071423,6309.573444801941,141.6727819859449
10000.00000000001,64.3685432659605,10000.00000000001,128.5930267616781
15848.93192461116,61.52772836382121,15848.93192461116,116.7236580137671
25118.86431509584,58.0917507549874,25118.86431509584,107.6153239705322
39810.71705534979,54.33839799884879,39810.71705534979,101.315246235535
63095.73444801944,50.44062509773948,63095.73444801944,97.17413426593116
100000.0000000002,46.48200029833895,100000.0000000002,94.50641315972445
158489.3192461117,42.49857891048031,158489.3192461117,92.79210410901888
251188.6431509586,38.50518787002969,251188.6431509586,91.67558096615473
398107.1705534981,34.50779973395739,398107.1705534981,90.91950006017838
630957.3444801947,30.50878466894286,630957.3444801947,90.36158446253771
1000000.000000002,26.50903791174791,1000000.000000002,89.88164266728174
1584893.192461117,22.50878975821795,1584893.192461117,89.37614795093448
2511886.431509587,18.50781444591012,2511886.431509587,88.73604587489899
3981071.705534983,14.50522496041501,3981071.705534983,87.82334170437734
6309573.44480195,10.49866815040435,6309573.44480195,86.44169682699705
10000000.00000003,6.482197925155056,10000000.00000003,84.29553759190289
15848931.92461118,2.440955709518926,15848931.92461118,80.9321336322576
25118864.31509588,-1.661781611698758,25118864.31509588,75.66687349791975
39810717.05534985,-5.914541271705658,39810717.05534985,67.52314933355542
63095734.44801953,-10.51795381203056,63095734.44801953,55.33435229819494
100000000.0000003,-15.86242203761425,100000000.0000003,38.43723003808549
158489319.2461119,-22.46958168413503,158489319.2461119,18.38807220773551
251188643.1509589,-30.5378783966253,251188643.1509589,-0.1255126999178607
398107170.5534986,-39.53816336429546,398107170.5534986,-12.74586995550086
630957344.4801955,-48.61184019147908,630957344.4801955,-18.85602672244945
1000000000.000004,-56.95914317467533,1000000000.000004,-19.90068927724349
1584893192.461119,-63.76846986223989,1584893192.461119,-17.62496163828623
2511886431.50959,-68.46541889223212,2511886431.50959,-13.8354611574764
3981071705.534988,-71.14626343751164,3981071705.534988,-9.910938223632771
6309573444.801957,-72.44741803008777,6309573444.801957,-6.664080989975653
10000000000,-73.01650081616505,10000000000,-4.325825992790264
