/Vout X,/Vout Y
0,0.326471620013048
2e-05,0.3279087263627308
6.000000000000001e-05,0.3278712030375262
0.0001142363158538274,0.328006421681058
0.0001961023134856811,0.3278874170772776
0.0003598343087493883,0.3279393303026176
0.0006872982992768028,0.3278828072362705
0.001087298299276803,0.3279384615142507
0.001293649149638402,0.3278887321231583
0.0015,0.3279384924806726
0.00150000390625,0.3449027243170268
0.00150001171875,0.4519424898389838
0.001500015838479918,0.5221026331213903
0.001500017197052069,0.5416695045117081
0.001500019914196372,0.5813043011204695
0.001500024378597184,0.6442370024951027
0.001500029348877738,0.7117890230637985
0.001500036042448313,0.7842389068202456
0.001500041618095304,0.8320694559030549
0.001500043127081509,0.8380873921595164
0.001500045977403213,0.8582898265645856
0.001500049229487197,0.8875003286769994
0.001500051643945791,0.9088019127141278
0.001500055226013328,0.9449313603600498
0.001500059068081728,1.006735727526242
0.001500062011195496,1.060443817236963
0.001500064925221475,1.09818918135307
0.001500067143465654,1.112538509000075
0.001500070224598083,1.126670182358071
0.001500073095952421,1.134842769904034
0.001500078838661098,1.145842690319159
0.001500084693073257,1.152736698569444
0.001500095973185733,1.162477072557575
0.001500107136198994,1.168680571916492
0.001500125313011731,1.175698226625095
0.001500147572108197,1.180586619104291
0.001500176703175192,1.184502292914003
0.001500215832326435,1.187099851522859
0.001500267719391356,1.188908155913488
0.001500336751693338,1.189707703396887
0.0015004299189091,1.190049142947634
0.001500554212812647,1.189706485036603
0.001500721645789282,1.189139692951064
0.001500946814822054,1.188077840945017
0.001501250197911937,1.186898270862139
0.001501659301296724,1.185260633600385
0.001502210360617574,1.183459861835798
0.001502953409125765,1.181060059359635
0.001503476704562883,1.179603760698783
0.001504,1.178020386282215
0.001505046590874235,1.175150820455608
0.001506242135334358,1.171815235488035
0.00150813366194321,1.166263824128055
0.001509079425247636,1.163174291935275
0.001509552306899849,1.161453114069316
0.001510498070204276,1.156949098175418
0.001510970951856489,1.153608866954096
0.001511207392682595,1.151316705835991
0.001511680274334808,1.142624223387129
0.001512287045063921,1.125516182796264
0.001512486576632591,1.12106013511948
0.00151288563976993,1.118010972335605
0.001513012529925401,1.117669489151683
0.001513266310236342,1.116849604652054
0.001513728304905208,1.115136680849358
0.001514513491962544,1.112510946246688
0.001516083866077215,1.106781014225065
0.001518781315165885,1.097227153666032
0.001523106899344499,1.08169212052731
0.001531758067701725,1.050839872635968
0.001549060404416178,0.9889443963537266
0.001583665077845083,0.8653524169362228
0.001600263533836527,0.8060076630697045
0.001605241430623953,0.7883145111056885
0.001615197224198805,0.7528223302242242
0.001616243282643221,0.7491940912274754
0.001618335399532051,0.7417779789262864
0.001620472264494284,0.7344363965817636
0.001622699438129734,0.7269556367040102
0.001625002158774784,0.7195649224987046
0.001626697560748286,0.714070603047135
