Loop Gain dB20 X,Loop Gain dB20 Y
1,69.08996054184529
1.023292992280754,69.08996054142139
1.047128548050899,69.08996054098604
1.071519305237606,69.08996054053279
1.096478196143185,69.08996054005242
1.122018454301963,69.08996053954939
1.148153621496882,69.08996053901993
1.174897554939529,69.08996053846015
1.202264434617413,69.0899605378826
1.230268770812381,69.08996053727786
1.258925411794167,69.08996053663911
1.288249551693134,69.089960535987
1.318256738556407,69.08996053528716
1.348962882591653,69.08996053456009
1.380384264602885,69.08996053379325
1.412537544622754,69.08996053299877
1.445439770745927,69.08996053216947
1.479108388168207,69.08996053129259
1.513561248436208,69.08996053037177
1.548816618912481,69.0899605294133
1.584893192461113,69.08996052840965
1.621810097358929,69.08996052735321
1.65958690743756,69.08996052625551
1.698243652461743,69.08996052510042
1.737800828749374,69.08996052389378
1.778279410038922,69.08996052263026
1.819700858609982,69.08996052130446
1.862087136662866,69.0899605199163
1.905460717963246,69.0899605184656
1.949844599758044,69.08996051694103
1.995262314968878,69.08996051535037
2.041737944669527,69.08996051368474
2.089296130854037,69.08996051192962
2.13796208950223,69.08996051010054
2.18776162394955,69.08996050818816
2.238721138568337,69.08996050618288
2.29086765276777,69.08996050408048
2.344228815319919,69.08996050188475
2.398832919019488,69.08996049958554
2.454708915685027,69.08996049716973
2.511886431509577,69.08996049465144
2.57039578276886,69.0899604920006
2.630267991895378,69.08996048923085
2.691534803926912,69.08996048634181
2.754228703338163,69.08996048331088
2.81838293126445,69.0899604801206
2.884031503126602,69.08996047679997
2.951209226666381,69.08996047332272
3.019951720402012,69.08996046967323
3.090295432513586,69.0899604658575
3.162277660168374,69.08996046185368
3.235936569296277,69.08996045766156
3.311311214825905,69.08996045327501
3.38844156139202,69.08996044868749
3.46736850452531,69.08996044387553
3.548133892335748,69.08996043884265
3.630780547701007,69.08996043356447
3.715352290971718,69.08996042803807
3.801893963205605,69.08996042225722
3.890451449942799,69.08996041620419
3.981071705534965,69.08996040986889
4.073802778041119,69.08996040322417
4.168693834703346,69.08996039627243
4.265795188015918,69.08996038899619
4.365158322401651,69.08996038137455
4.466835921509622,69.08996037339135
4.570881896148741,69.08996036503244
4.677351412871972,69.08996035627462
4.786300923226373,69.08996034711031
4.897788193684452,69.08996033752011
5.011872336272712,69.08996032747821
5.128613839913638,69.0899603169523
